state,date,price,rent,interest_rate,cp_index,inflation,total_pops,unemployed_pct
AK,2000-02-01,150190.63886153846,676.6245825989317,5.73,169.8,0.5924170616113722,435948.0,6.2
AK,2000-03-01,150783.67086923076,679.4241436032316,5.85,171.2,0.8244994110718329,435940.0,6.2
AK,2000-04-01,151157.79183846153,682.4167777802504,6.02,171.3,0.05841121495329116,434498.0,6.3
AK,2000-05-01,151721.66130769232,685.3128753709025,6.27,171.5,0.11675423234092097,434753.0,6.3
AK,2000-06-01,152035.0342153846,688.3055095479067,6.53,172.4,0.5247813411078717,435039.0,6.4
AK,2000-07-01,152266.04147692307,691.2016071385733,6.54,172.8,0.23201856148491462,435275.0,6.4
AK,2000-08-01,152845.3396076923,694.1942413155775,6.5,172.8,0.0,435991.0,6.4
AK,2000-09-01,153293.48173846153,697.1868754925817,6.52,173.7,0.5208333333333259,436686.0,6.4
AK,2000-10-01,153515.65036923077,700.0829730832484,6.51,174.0,0.17271157167531026,437393.0,6.4
AK,2000-11-01,153139.98556923078,703.0756072602526,6.51,174.1,0.057471264367814356,438096.0,6.3
AK,2000-12-01,152827.34005384616,705.9717048509046,6.4,174.0,-0.057438253877073464,438773.0,6.3
AK,2001-01-01,152855.43609230767,708.9643390279234,5.98,175.1,0.6321839080459801,439457.0,6.2
AK,2001-02-01,154502.2842,711.9569732049276,5.49,175.8,0.3997715591090856,440088.0,6.1
AK,2001-03-01,157624.04597692308,714.6599976228754,5.31,176.2,0.22753128555175195,440714.0,6.1
AK,2001-04-01,161907.35090769234,717.6526317998796,4.8,176.9,0.39727582292850006,441403.0,6.1
AK,2001-05-01,165643.7959846154,720.5487293905317,4.21,177.7,0.45223289994347216,442100.0,6.1
AK,2001-06-01,168686.0936769231,723.5413635675504,3.97,178.0,0.16882386043894915,442790.0,6.1
AK,2001-07-01,171307.7184,726.4374611582025,3.77,177.5,-0.2808988764044895,443480.0,6.2
AK,2001-08-01,173905.68975384615,729.4300953352067,3.65,177.5,0.0,444285.0,6.3
AK,2001-09-01,176106.36640769232,732.4227295122255,3.07,178.3,0.4507042253521165,445086.0,6.4
AK,2001-10-01,177748.08006923075,735.3188271028775,2.49,177.7,-0.33651149747617737,445888.0,6.5
AK,2001-11-01,178835.97713846155,738.3114612798818,2.09,177.4,-0.16882386043892694,446603.0,6.6
AK,2001-12-01,179881.6948,741.2075588705484,1.82,176.7,-0.3945885005637084,447347.0,6.7
AK,2002-01-01,181002.14385384615,744.2001930475526,1.73,177.1,0.22637238256932868,448136.0,6.8
AK,2002-02-01,182092.11685384615,747.1928272245714,1.74,177.8,0.39525691699606735,448798.0,6.9
AK,2002-03-01,183087.38424615384,749.8958516425046,1.73,178.8,0.5624296962879693,449530.0,7.0
AK,2002-04-01,183957.45088461542,752.8884858195233,1.75,179.8,0.5592841163311046,450277.0,7.1
AK,2002-05-01,184952.42606923077,755.7845834101754,1.75,179.8,0.0,451047.0,7.2
AK,2002-06-01,185887.58598461538,758.7772175871796,1.75,179.9,0.05561735261401246,451808.0,7.2
AK,2002-07-01,186648.31824615385,761.6733151778462,1.73,180.1,0.11117287381878782,452597.0,7.2
AK,2002-08-01,187241.52694615384,764.6659493548505,1.74,180.7,0.3331482509716821,453243.0,7.2
AK,2002-09-01,187763.18175384618,767.6585835318547,1.75,181.0,0.16602102933038765,453876.0,7.3
AK,2002-10-01,188418.87925384616,770.5546811225213,1.75,181.3,0.16574585635360517,454550.0,7.3
AK,2002-11-01,189132.37242307691,773.5473152995255,1.34,181.3,0.0,455168.0,7.4
AK,2002-12-01,189974.5758692308,776.4434128901776,1.24,180.9,-0.22062879205736463,455741.0,7.4
AK,2003-01-01,190743.20224615384,779.4360470671963,1.24,181.7,0.44223327805417156,456362.0,7.5
AK,2003-02-01,191328.4331692308,782.4286812442006,1.26,183.1,0.7705008255366019,456807.0,7.6
AK,2003-03-01,191821.73293076924,785.1317056621483,1.25,184.2,0.6007646095030017,457242.0,7.6
AK,2003-04-01,192182.4993846154,788.1243398391525,1.26,183.8,-0.21715526601518986,457783.0,7.7
AK,2003-05-01,192634.4032692308,791.0204374298046,1.26,183.5,-0.16322089227421843,458416.0,7.7
AK,2003-06-01,193278.83924615383,794.0130716068234,1.22,183.7,0.10899182561308063,459028.0,7.8
AK,2003-07-01,194368.2709923077,796.9091691974754,1.01,183.9,0.10887316276537717,459663.0,7.8
AK,2003-08-01,196307.56884615385,799.9018033744796,1.03,184.6,0.38064165307232223,460685.0,7.8
AK,2003-09-01,197848.24243076926,802.8944375514984,1.01,185.2,0.3250270855904569,461755.0,7.7
AK,2003-10-01,199541.63535384613,805.7905351421505,1.01,185.0,-0.10799136069113979,462857.0,7.7
AK,2003-11-01,200867.7004923077,808.7831693191547,1.0,184.5,-0.2702702702702675,463911.0,7.7
AK,2003-12-01,202327.83867692307,811.6792669098213,0.98,184.3,-0.10840108401083404,464858.0,7.6
AK,2004-01-01,203609.21158461538,814.6719010868255,1.0,185.2,0.48833423765597406,465863.0,7.6
AK,2004-02-01,203913.37953846154,817.6645352638443,1.01,186.2,0.5399568034557323,466768.0,7.6
AK,2004-03-01,204622.64843846156,820.4640962681442,1.0,187.4,0.6444683136412444,467758.0,7.6
AK,2004-04-01,204999.24548461539,823.4567304451484,1.0,188.0,0.32017075773744796,468813.0,7.6
AK,2004-05-01,206157.69834615383,826.3528280358005,1.0,189.1,0.5851063829787284,469843.0,7.5
AK,2004-06-01,206849.9712153846,829.3454622128193,1.03,189.7,0.3172924378635589,470883.0,7.5
AK,2004-07-01,207630.28833076925,832.2415598034713,1.26,189.4,-0.1581444385872377,471914.0,7.4
AK,2004-08-01,208628.88266923078,835.2341939804755,1.43,189.5,0.052798310454060804,472628.0,7.3
AK,2004-09-01,210275.33565384615,838.2268281574943,1.61,189.9,0.21108179419524475,473333.0,7.3
AK,2004-10-01,212755.13673846156,841.1229257481464,1.76,190.9,0.526592943654558,474064.0,7.2
AK,2004-11-01,215011.0105769231,844.1155599251506,1.93,191.0,0.05238344683080598,474732.0,7.2
AK,2004-12-01,216982.56283076922,847.0116575158027,2.16,190.3,-0.3664921465968529,475388.0,7.2
AK,2005-01-01,218702.67163846153,850.0042916928214,2.28,190.7,0.21019442984759884,476092.0,7.1
AK,2005-02-01,214972.92980625,852.9969258698256,2.5,191.8,0.5768222338752071,476716.0,7.0
AK,2005-03-01,205540.98454761904,855.6999502877734,2.63,193.3,0.7820646506777829,477365.0,6.9
AK,2005-04-01,200837.55112068966,858.6925844647776,2.79,194.6,0.6725297465079993,478096.0,6.9
AK,2005-05-01,201676.0888103448,861.5886820554442,3.0,194.4,-0.10277492291880241,478798.0,6.8
AK,2005-06-01,205045.43414838708,864.5813162324484,3.04,194.5,0.051440329218110925,479556.0,6.8
AK,2005-07-01,206236.41987096774,867.4774138231005,3.26,195.4,0.46272493573265017,480302.0,6.8
AK,2005-08-01,207644.02052580647,870.4700480001193,3.5,196.4,0.5117707267144223,481163.0,6.9
AK,2005-09-01,209216.9310677419,873.4626821771235,3.62,198.8,1.2219959266802416,482067.0,7.0
AK,2005-10-01,211195.5547935484,876.3587797677756,3.78,199.2,0.2012072434607548,483268.0,7.0
AK,2005-11-01,213307.70133870968,879.3514139447943,4.0,197.6,-0.8032128514056214,484146.0,7.0
AK,2005-12-01,215406.00689354836,882.2475115354464,4.16,196.8,-0.4048582995951344,485094.0,7.0
AK,2006-01-01,217505.66182903227,885.2401457124506,4.29,198.3,0.7621951219512146,485968.0,6.9
AK,2006-02-01,219479.09811290324,888.2327798894694,4.49,198.7,0.20171457387794245,486740.0,6.9
AK,2006-03-01,220857.14504516128,890.9358043074171,4.59,199.8,0.5535983895319729,487558.0,6.8
AK,2006-04-01,221839.95947741938,893.9284384844213,4.79,201.5,0.8508508508508372,488418.0,6.7
AK,2006-05-01,222614.7114032258,896.8245360750734,4.94,202.5,0.496277915632759,489223.0,6.7
AK,2006-06-01,223803.28052258064,899.8171702520922,4.99,202.9,0.19753086419753707,490098.0,6.7
AK,2006-07-01,224298.95998064513,902.7132678427442,5.24,203.5,0.29571217348447476,490950.0,6.6
AK,2006-08-01,224776.21169032258,905.7059020197485,5.25,203.9,0.19656019656020263,491379.0,6.6
AK,2006-09-01,225558.1231935484,908.6985361967672,5.25,202.9,-0.49043648847474364,491865.0,6.5
AK,2006-10-01,227284.76767741938,911.5946337874193,5.25,201.8,-0.5421389847215297,492363.0,6.5
AK,2006-11-01,229118.93654193552,914.5872679644235,5.25,201.5,-0.14866204162538033,492811.0,6.4
AK,2006-12-01,230619.68200322578,917.4833655550756,5.24,201.8,0.14888337468983437,493209.0,6.3
AK,2007-01-01,232079.85672258065,920.4759997320944,5.25,202.416,0.30525272547075044,493664.0,6.3
AK,2007-02-01,233428.5144580645,923.4686339090986,5.26,203.499,0.5350367559876723,494007.0,6.2
AK,2007-03-01,234465.10136774194,926.1716583270463,5.26,205.352,0.9105695851085338,494382.0,6.2
AK,2007-04-01,235144.32106451612,929.1642925040505,5.25,206.686,0.6496162686508988,494816.0,6.2
AK,2007-05-01,235771.9952967742,932.0603900947171,5.25,207.949,0.6110718674704696,495225.0,6.2
AK,2007-06-01,236535.2112548387,935.0530242717214,5.25,208.352,0.19379751766057662,495672.0,6.3
AK,2007-07-01,237228.3061516129,937.9491218623734,5.26,208.299,-0.02543772078021922,496104.0,6.3
AK,2007-08-01,237795.1285451613,940.9417560393922,5.02,207.917,-0.18339022270870142,496548.0,6.3
AK,2007-09-01,238214.86794193546,943.9343902163964,4.94,208.49,0.2755907405358915,496997.0,6.3
AK,2007-10-01,238818.16094516127,946.8304878070485,4.76,208.936,0.2139191328121237,497450.0,6.3
AK,2007-11-01,239500.47397741937,949.8231219840673,4.49,210.177,0.5939617873415681,497891.0,6.3
AK,2007-12-01,240106.69976774193,952.7192195747193,4.24,210.036,-0.0670863129647814,498284.0,6.2
AK,2008-01-01,240688.91812903224,955.7118537517235,3.94,211.08,0.4970576472604682,498693.0,6.2
AK,2008-02-01,241323.02530322582,958.7044879287423,2.98,211.693,0.29041121849535667,499046.0,6.2
AK,2008-03-01,241681.96353548384,961.5040489330422,2.61,213.528,0.8668212930989627,499412.0,6.3
AK,2008-04-01,241867.8306967742,964.4966831100464,2.28,214.823,0.6064778389719416,499825.0,6.3
AK,2008-05-01,241339.5752,967.3927807006985,1.98,216.632,0.8420886031756281,500225.0,6.4
AK,2008-06-01,240899.20511612904,970.3854148777173,2.0,218.815,1.0076996934894167,500654.0,6.5
AK,2008-07-01,240522.43109677418,973.2815124683693,2.01,219.964,0.5251011128121874,501082.0,6.5
AK,2008-08-01,240545.89578064517,976.2741466453735,2.0,219.086,-0.39915622556417896,502170.0,6.5
AK,2008-09-01,240751.6806032258,979.2667808223923,1.81,218.783,-0.13830185406644713,503222.0,6.6
AK,2008-10-01,240725.3421935484,982.1628784130444,0.97,216.573,-1.010133328457874,504284.0,6.6
AK,2008-11-01,240778.5988129032,985.1555125900486,0.39,212.425,-1.9152895328595876,505353.0,6.7
AK,2008-12-01,240748.3597,988.0516101807152,0.16,210.228,-1.0342473814287434,506307.0,6.9
AK,2009-01-01,240641.5222935484,991.0442443577194,0.15,211.143,0.4352417375421025,507364.0,7.2
AK,2009-02-01,240354.89113870967,994.0368785347237,0.22,212.193,0.49729330359047363,508336.0,7.4
AK,2009-03-01,240243.88666774196,996.7399029526714,0.18,212.709,0.24317484554154944,509304.0,7.7
AK,2009-04-01,240284.95801935482,999.7325371296902,0.15,213.24,0.2496368277788097,510314.0,7.9
AK,2009-05-01,240316.8490548387,1002.6286347203422,0.18,213.856,0.2888763834177466,511330.0,8.0
AK,2009-06-01,240005.22524193546,1005.6212688973465,0.21,215.693,0.8589892263953347,512325.0,8.1
AK,2009-07-01,239573.51039354838,1008.5173664879985,0.16,215.351,-0.15855869221532704,513402.0,8.1
AK,2009-08-01,239050.57977096774,1011.5100006650173,0.16,215.834,0.2242850044810618,513656.0,8.2
AK,2009-09-01,238491.02062903225,1014.5026348420215,0.15,215.969,0.06254806934959944,513872.0,8.2
AK,2009-10-01,236338.74725666668,1017.3987324326736,0.12,216.177,0.0963101185818438,514133.0,8.3
AK,2009-11-01,237231.0510354839,1020.3913666096923,0.12,216.33,0.07077533687673832,514325.0,8.3
